source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36728_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36730_case_001,0,0,0,1,1,1,0,1,1,3,0,1,1,train
vp_36731_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36731_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36731_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36731_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36732_case_001,0,0,0,0,0,0,0,1,0,0,0,0,1,train
vp_36733_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36734_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36734_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36735_case_001,0,0,0,1,0,0,0,0,0,1,0,0,1,train
vp_36735_case_002,0,0,0,0,1,1,0,2,1,2,0,1,1,train
vp_36735_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36735_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36735_case_005,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36737_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36738_case_001,0,0,0,0,0,0,0,1,0,0,0,0,1,train
vp_36738_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36741_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36742_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36743_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36744_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36334_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36334_case_002,1,1,0,0,0,0,0,3,0,3,0,0,1,train
vp_36334_case_003,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36334_case_004,1,1,0,0,0,0,0,3,0,3,0,0,1,validation
vp_36335_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36336_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36339_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36339_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36339_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36339_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36339_case_005,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36340_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36342_case_001,1,1,0,0,0,0,0,2,0,2,0,0,1,train
vp_36342_case_002,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36342_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36342_case_004,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36342_case_005,1,0,1,0,0,0,0,1,0,2,1,0,1,train
vp_36343_case_001,1,0,0,1,0,0,0,1,0,2,1,0,1,train
vp_36345_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36346_case_001,1,1,0,0,0,0,0,2,0,2,0,0,1,test
vp_36347_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,test
vp_36347_case_002,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36348_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36349_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,test
vp_36349_case_002,1,1,0,1,0,0,0,2,0,3,1,0,1,train
vp_36350_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36350_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36350_case_003,1,1,0,0,0,0,0,2,0,2,0,0,1,train
vp_36351_case_001,1,0,0,1,0,0,0,1,0,2,1,0,1,train
vp_36351_case_002,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36352_case_001,1,1,1,0,0,0,0,3,0,4,1,0,1,train
vp_36352_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36352_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36353_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36353_case_002,1,1,1,0,0,0,0,3,0,4,1,0,1,train
vp_36354_case_001,1,1,0,0,0,0,0,2,0,2,0,0,1,train
vp_36355_case_001,1,1,1,1,0,0,0,2,0,3,1,0,1,train
vp_36356_case_001,1,1,0,0,0,0,0,2,0,2,0,0,1,train
vp_36357_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36358_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36359_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36360_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36361_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36362_case_001,1,0,0,0,0,0,0,1,0,1,0,0,1,test
vp_36362_case_002,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36362_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36362_case_004,1,1,0,1,0,0,0,2,0,3,1,0,1,train
vp_36362_case_005,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36363_case_001,1,1,1,1,0,0,0,2,0,3,1,0,1,train
vp_36364_case_001,1,1,1,0,0,0,0,3,0,4,1,0,1,train
vp_36365_case_001,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36365_case_002,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36367_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36367_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36367_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36367_case_004,1,1,1,1,0,0,1,3,1,5,1,0,1,train
vp_36367_case_005,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36367_case_006,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36367_case_007,1,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36367_case_008,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36367_case_009,0,0,0,1,0,0,0,0,0,1,0,0,1,validation
vp_36368_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36368_case_002,0,1,0,0,0,0,0,1,0,1,0,0,1,train
vp_36369_case_001,1,1,1,0,0,0,0,2,0,3,1,0,1,train
vp_36369_case_002,1,1,1,0,0,0,0,2,0,3,1,0,1,validation
